,calle
0,PIEDRA BUENA AV.
1,"PAZ, GRAL. AV."
2,ENTRE RIOS AV.
3,LARRAZABAL AV.
4,SAN JUAN AV.
5,27 DE FEBRERO AV.
6,NOGOYA
7,BELGRANO AV.
8,"SCALABRINI ORTIZ, RAUL AV."
9,REGIMIENTO DE PATRICIOS AV.
10,"ACOSTA, MARIANO"
11,"DE LA TORRE, LISANDRO"
12,SUIPACHA
13,DIRECTORIO AV.
14,9 DE JULIO AV.
15,HOLMBERG
16,CURAPALIGUE AV.
17,VIAMONTE
18,CABILDO AV.
19,"ALCORTA, AMANCIO AV."
20,CORRIENTES AV.
21,HERRERA
22,LAFUENTE AV.
23,"MITRE, BARTOLOME"
24,"DELLEPIANE, LUIS, TTE. GRAL."
25,"MORENO, JOSE MARIA AV."
26,LIMA
27,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI
28,"GORDILLO, TIMOTEO"
29,"LUGONES, LEOPOLDO AV."
30,TRIUNVIRATO AV.
31,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.
32,"CASTILLA, RAMON, MARISCAL"
33,"CAMPOS, LUIS M. AV."
34,CIUDADELA
35,"JUSTO, JUAN B. AV."
36,GAONA AV.
37,"FIGUEROA ALCORTA, PRES. AV."
38,"MAGARIÑOS CERVANTES, A."
39,SAN MARTIN AV.
40,"PERON, JUAN DOMINGO, TTE. GENERAL"
41,DEL LIBERTADOR AV.
42,"LARRALDE, CRISOLOGO AV."
43,LA PLATA AV.
44,"ALBERDI, JUAN BAUTISTA AV."
45,"PELLEGRINI, CARLOS"
46,"RABANAL, FRANCISCO, INTENDENTE AV."
47,OLIVERA AV.
48,CERETTI
49,"SALGUERO, JERONIMO"
50,MERCEDES
51,SOLIS
52,MOSCONI GENERAL AV.
53,"PERON, EVA AV."
54,ZINNY
55,"LACROZE, FEDERICO AV."
56,AUTOPISTA PERITO MORENO
57,LUGONES
58,AUTOPISTA 25 DE MAYO
59,ARIAS
60,ASAMBLEA AV.
61,RIVADAVIA AV.
62,IRIGOYEN
63,CASTRO
64,MIRAVE
65,LAS HERAS GENERAL AV.
66,AUTOPISTA BUENOS AIRES - LA PLATA
67,JURAMENTO AV.
68,"BROWN, ALTE. AV."
69,PICHINCHA AV.
70,INDEPENDENCIA AV.
71,GARMENDIA AV.
72,"MORENO, PERITO AV."
73,ARAOZ
74,MADERO
75,SANTA FE AV.
76,"GARCIA, MARTIN AV."
77,NUÑEZ
78,"HUERGO, ING. AV."
79,"GARAY, JUAN DE AV."
80,"FALCON, RAMON L.,CNEL."
81,ARENALES
82,REPUBLICA BOLIVARIANA DE VENEZUELA
83,OLAVARRIA
84,"CABRERA, JOSE A."
85,TRAFUL
86,"IRIARTE, GRAL. AV."
87,DONADO
88,CORDOBA AV.
89,SARMIENTO
90,"FERNANDEZ DE LA CRUZ, F., GRAL. AV."
91,CASEROS AV.
92,MOZART
93,24 DE NOVIEMBRE
94,GODOY CRUZ
95,"ACHAVAL RODRIGUEZ, T., DR. AV."
96,CASTAÑARES AV.
97,"GUIRALDES, INT."
98,"FERNANDEZ MORENO, BALDOMERO"
99,ARGENTINA AV.
100,VIEYTES
101,DE LOS CONSTITUYENTES AV.
102,BRASIL
103,ESCALADA AV.
104,PARAGUAY
105,CHILE
106,MAIPU
107,SUAREZ AV.
108,NUEVA YORK
109,CASCO
110,DE MAYO AV.
111,"CASTILLO, RAMON S., PRES. AV."
112,FRAY JUSTO SANTAMARIA DE ORO
113,MEXICO
114,TACUARI
115,PASEO COLON AV.
116,"LEGUIZAMON, MARTINIANO"
117,CHIVILCOY AV.
118,SUPERI
119,"HUGO, VICTOR"
120,"BONIFACIO, JOSE"
121,LAVALLE
122,USPALLATA
123,ALVEAR AV.
124,PAVON AV.
125,ALBARIÑO
126,"RAMIREZ DE VELASCO, JUAN"
127,RIESTRA AV.
128,GALLO
129,"ARANGUREN, JUAN F., DR."
130,CHORROARIN
131,COSQUIN
132,"ROCA, CNEL. AV."
133,WARNES AV.
134,BARCO CENTENERA DEL
135,"TRELLES, MANUEL R."
136,MAZA
137,CACHI
138,ROSARIO
139,GUALEGUAYCHU
140,NAZCA AV.
141,PERU
142,"PUEYRREDON, HONORIO, DR. AV."
143,VALLE
144,PILCOMAYO
145,CERVANTES
146,CALLAO AV.
147,OLIDEN
148,CONGRESO AV.
149,AUSTRALIA AV.
150,SAN PEDRITO AV.
151,ISABEL LA CATOLICA
152,AUTOPISTA PRESIDENTE HECTOR J. CAMPORA
153,"MONTES DE OCA, MANUEL AV."
154,ALVAREZ THOMAS AV.
155,AVELLANEDA AV.
156,"BILBAO, FRANCISCO AV."
157,PLAZA
158,CAMARONES
159,"FREIRE, RAMON, CAP. GRAL."
160,BRANDSEN
161,"VILARDEBO, TEODORO"
162,ALBERTI
163,QUESADA
164,CALIFORNIA
165,"CARRIL, SALVADOR MARIA DEL AV."
166,SAN LUIS
167,COMBATE DE LOS POZOS
168,ESTADOS UNIDOS
169,"ALEM, LEANDRO N. AV."
170,VARELA AV.
171,CARABOBO AV.
172,MORENO
173,"CHAVEZ, JORGE"
174,"URQUIZA, GRAL."
175,DE LOS CORRALES AV.
176,CASTANARES AV.
177,LARRAZABAL
178,"MOREAU DE JUSTO, ALICIA AV."
179,15 DE NOVIEMBRE DE 1889
180,LACARRA AV.
181,AUTOPISTA PRESIDENTE HÑCTOR J. CÑMPORA
182,"RAWSON DE DELLEPIANE, ELVIRA AV."
183,FAMATINA
184,DE LOS ITALIANOS AV.
185,TUCUMAN
186,MUÑECAS
187,"ARTIGAS, JOSE GERVASIO, GRAL."
188,"BOSCH, VENTURA"
189,MONROE
190,SAENZ AV.
191,"NEWBERY, JORGE AV."
192,"MADERO, EDUARDO AV."
193,AUTOPISTA ARTURO ILLIA
194,"ALSINA, ADOLFO"
195,BERMUDEZ
196,SANTANDER
197,LANTERI JULIETA
198,"OBLIGADO RAFAEL, AV.COSTANERA"
199,CHACABUCO
200,SALVIGNY
201,"LAMARCA, EMILIO"
202,"CARRILLO, RAMON, DR."
203,"CANTILO, INT."
204,CHICLANA AV.
205,BOYACA AV.
206,ANTARTIDA ARGENTINA AV.
207,"ALVAREZ, DONATO, TTE. GRAL."
208,RIGLOS
209,LA RIOJA
210,"UDAONDO, GUILLERMO AV."
211,PUAN
212,BOEDO AV.
213,CIUDAD DE LA PAZ
214,"FILIBERTO, JUAN DE DIOS"
215,ASTURIAS AV.
216,GANDARA
217,"GUEVARA, TRINIDAD"
218,ARTILLEROS
219,"ACOSTA, MARIANO AV."
220,11 DE SEPTIEMBRE DE 1888
221,"PINO, VIRREY DEL"
222,FOREST AV.
223,"CASTRO, EMILIO"
224,PRIMERA JUNTA
225,SAN ANTONIO
226,"EINSTEIN, ALBERTO"
227,AGRELO
228,ELCANO AV.
229,MONTE
230,TANDIL
231,CARDOSO
232,"BRIN, MINISTRO"
233,NIZA
234,CAMARGO
235,GUZMAN
236,IBARROLA
237,SANTO TOME
238,URIARTE
239,SARAZA
240,RODRIGUEZ PEÑA
241,COLOMBRES
242,COMBATIENTES DE MALVINAS AV.
243,BRASIL AV.
244,CONSTITUCION
245,PUEYRREDON AV.
246,"BRAVO, MARIO"
247,"ARAOZ DE LAMADRID, GREGORIO, GRAL."
248,MURGUIONDO
249,"GARZON, EUGENIO, GRAL. AV."
250,CURAPALIGUE
251,"DIAZ, ANA"
252,DORREGO AV.
253,INCLAN
254,OLAZABAL AV.
255,HOMERO
256,JUJUY AV.
257,BOGOTA
258,ALVAREZ JONTE AV.
259,"CASTRO, EMILIO AV."
260,PAYSANDU
261,SALTA
262,"JAURES, JEAN"
