id_hecho,numero_victimas,tipo_calle,calle,cruce,direccion_normalizada,comuna,longitud,latitud,participantes,acusado,fecha_hora,tipo_lugar_accidente,rango_horario,semestre
2016-0001,1,AVENIDA,PIEDRA BUENA AV.,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.","PIEDRA BUENA AV. y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8,-58.47533969,-34.68757022,MOTO-AUTO,AUTO,2016-01-01 04:00:00,cruce,Madrugada,1
2016-0002,1,AUTOPISTA,"PAZ, GRAL. AV.",DE LOS CORRALES AV.,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",9,-58.50877521,-34.66977709,AUTO-PASAJEROS,PASAJEROS,2016-01-02 01:15:00,cruce,Madrugada,1
2016-0003,1,AVENIDA,ENTRE RIOS AV.,,ENTRE RIOS AV. 2034,1,-58.39040293,-34.63189362,MOTO-AUTO,AUTO,2016-01-03 07:00:00,arteria,Mañana,1
2016-0004,1,AVENIDA,LARRAZABAL AV.,"VILLEGAS, CONRADO, GRAL.","LARRAZABAL AV. y VILLEGAS, CONRADO, GRAL.",8,-58.46503904,-34.68092974,MOTO-SD,SD,2016-01-10 00:00:00,cruce,Madrugada,1
2016-0005,1,AVENIDA,SAN JUAN AV.,"SAENZ PEÑA, LUIS, PRES.","SAN JUAN AV. y SAENZ PEÑA, LUIS, PRES.",1,-58.38718297,-34.6224663,MOTO-PASAJEROS,PASAJEROS,2016-01-21 05:20:00,cruce,Madrugada,1
2016-0008,1,AVENIDA,27 DE FEBRERO AV.,ESCALADA AV.,27 DE FEBRERO AV. y ESCALADA AV.,8,-58.44451316,-34.68475866,MOTO-OBJETO FIJO,OBJETO FIJO,2016-01-24 18:30:00,cruce,Noche,1
2016-0009,1,CALLE,NOGOYA,"GONZALEZ, JOAQUIN V.","NOGOYA y GONZALEZ, JOAQUIN V.",11,-58.50095869,-34.6082544,MOTO-AUTO,AUTO,2016-01-24 19:10:00,cruce,Noche,1
2016-0010,1,AUTOPISTA,"PAZ, GRAL. AV.",DE LOS CORRALES AV.,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",9,-58.50877521,-34.66977709,MOTO-AUTO,AUTO,2016-01-29 15:20:00,cruce,Tarde,1
2016-0012,1,AVENIDA,BELGRANO AV.,"IRIGOYEN, BERNARDO DE","BELGRANO AV. e IRIGOYEN, BERNARDO DE",1,-58.38048577,-34.61303893,MOTO-CARGAS,CARGAS,2016-02-08 01:20:00,cruce,Madrugada,1
2016-0013,1,AVENIDA,ENTRE RIOS AV.,,ENTRE RIOS AV. 1366,1,-58.39114932,-34.62477387,PEATON-AUTO,AUTO,2016-02-10 11:30:00,arteria,Mañana,1
2016-0015,1,AVENIDA,"SCALABRINI ORTIZ, RAUL AV.",VERA,"SCALABRINI ORTIZ, RAUL AV. y VERA",15,-58.4376002,-34.59912758,PEATON-AUTO,AUTO,2016-02-14 05:14:00,cruce,Madrugada,1
2016-0016,1,AVENIDA,REGIMIENTO DE PATRICIOS AV.,"QUINQUELA MARTIN, BENITO","REGIMIENTO DE PATRICIOS AV. y QUINQUELA MARTIN, BENITO",4,-58.36882665,-34.64291993,MOTO-AUTO,AUTO,2016-02-14 22:00:00,cruce,Noche,1
2016-0017,1,AVENIDA,"ACOSTA, MARIANO","JANER, ANA MARIA","ACOSTA, MARIANO y JANER, ANA MARIA",8,-58.44989671,-34.65970435,PEATON-MOTO,MOTO,2016-02-15 16:54:00,cruce,Tarde,1
2016-0019,1,CALLE,"DE LA TORRE, LISANDRO","GARCIA GRANDE DE ZEQUEIRA, SEVERO","DE LA TORRE, LISANDRO y GARCIA GRANDE DE ZEQUEIRA, SEVERO",9,-58.50990884,-34.65468721,PEATON-PASAJEROS,PASAJEROS,2016-02-17 09:30:00,cruce,Mañana,1
2016-0020,1,CALLE,SUIPACHA,,SUIPACHA 156,1,-58.37952223,-34.60653282,PEATON-AUTO,AUTO,2016-02-17 16:00:00,arteria,Tarde,1
2016-0021,1,AVENIDA,DIRECTORIO AV.,CURAPALIGUE,DIRECTORIO AV. y CURAPALIGUE,7,-58.45157703,-34.63063795,AUTO-AUTO,AUTO,2016-02-17 23:35:00,cruce,Noche,1
2016-0022,1,AVENIDA,9 DE JULIO AV.,"ALSINA, ADOLFO","9 DE JULIO AV. y ALSINA, ADOLFO",1,-58.38144696,-34.61079875,MOTO-AUTO,AUTO,2016-02-21 06:00:00,cruce,Mañana,1
