anio,mes,tipo_licencia,sexo,cantidad
2006,Enero,nuevas,MASCULINO,4987
2006,Enero,nuevas,FEMENINO,2138
2006,Enero,renovadas,MASCULINO,13249
2006,Enero,renovadas,FEMENINO,4458
2006,Febrero,nuevas,MASCULINO,3692
2006,Febrero,nuevas,FEMENINO,1699
2006,Febrero,renovadas,MASCULINO,10101
2006,Febrero,renovadas,FEMENINO,3436
2006,Marzo,nuevas,MASCULINO,4329
2006,Marzo,nuevas,FEMENINO,2145
2006,Marzo,renovadas,MASCULINO,13736
2006,Marzo,renovadas,FEMENINO,4446
2006,Abril,nuevas,MASCULINO,3421
2006,Abril,nuevas,FEMENINO,1635
2006,Abril,renovadas,MASCULINO,12076
2006,Abril,renovadas,FEMENINO,3694
2006,Mayo,nuevas,MASCULINO,3572
2006,Mayo,nuevas,FEMENINO,1655
2006,Mayo,renovadas,MASCULINO,13511
2006,Mayo,renovadas,FEMENINO,4194
2006,Junio,nuevas,MASCULINO,3021
2006,Junio,nuevas,FEMENINO,1453
2006,Junio,renovadas,MASCULINO,12521
2006,Junio,renovadas,FEMENINO,4101
2006,Julio,nuevas,MASCULINO,3343
2006,Julio,nuevas,FEMENINO,1670
2006,Julio,renovadas,MASCULINO,13631
2006,Julio,renovadas,FEMENINO,4370
2006,Agosto,nuevas,MASCULINO,4124
2006,Agosto,nuevas,FEMENINO,1984
2006,Agosto,renovadas,MASCULINO,14251
2006,Agosto,renovadas,FEMENINO,4581
2006,Septiembre,nuevas,MASCULINO,4153
2006,Septiembre,nuevas,FEMENINO,3569
2006,Septiembre,renovadas,MASCULINO,13663
2006,Septiembre,renovadas,FEMENINO,4487
2006,Octubre,nuevas,MASCULINO,3866
2006,Octubre,nuevas,FEMENINO,1812
2006,Octubre,renovadas,MASCULINO,13608
2006,Octubre,renovadas,FEMENINO,4217
2006,Noviembre,nuevas,MASCULINO,4593
2006,Noviembre,nuevas,FEMENINO,1976
2006,Noviembre,renovadas,MASCULINO,14756
2006,Noviembre,renovadas,FEMENINO,4701
2006,Diciembre,nuevas,MASCULINO,4148
2006,Diciembre,nuevas,FEMENINO,1735
2006,Diciembre,renovadas,MASCULINO,13164
2006,Diciembre,renovadas,FEMENINO,4390
2007,Enero,nuevas,MASCULINO,5082
2007,Enero,nuevas,FEMENINO,2198
2007,Enero,renovadas,MASCULINO,16205
2007,Enero,renovadas,FEMENINO,5502
2007,Febrero,nuevas,MASCULINO,3994
2007,Febrero,nuevas,FEMENINO,1866
2007,Febrero,renovadas,MASCULINO,12103
2007,Febrero,renovadas,FEMENINO,4189
2007,Marzo,nuevas,MASCULINO,2966
2007,Marzo,nuevas,FEMENINO,1530
2007,Marzo,renovadas,MASCULINO,15760
2007,Marzo,renovadas,FEMENINO,5655
2007,Abril,nuevas,MASCULINO,2541
2007,Abril,nuevas,FEMENINO,1311
