id_hecho,accidente_con_semaforo
2016-0001,Accidente sin semaforo
2016-0002,Accidente sin semaforo
2016-0003,Accidente sin semaforo
2016-0004,Accidente sin semaforo
2016-0005,Accidente sin semaforo
2016-0008,Accidente sin semaforo
2016-0009,Accidente sin semaforo
2016-0010,Accidente sin semaforo
2016-0012,Accidente sin semaforo
2016-0013,Accidente sin semaforo
2016-0015,Accidente sin semaforo
2016-0016,Accidente sin semaforo
2016-0017,Accidente sin semaforo
2016-0019,Accidente sin semaforo
2016-0020,Accidente sin semaforo
2016-0021,Accidente sin semaforo
2016-0022,Accidente con semaforo
2016-0025,Accidente sin semaforo
2016-0026,Accidente sin semaforo
2016-0027,Accidente sin semaforo
2016-0028,Accidente sin semaforo
2016-0029,Accidente con semaforo
2016-0031,Accidente sin semaforo
2016-0034,Accidente sin semaforo
2016-0035,Accidente con semaforo
2016-0036,Accidente con semaforo
2016-0037,Accidente sin semaforo
2016-0038,Accidente sin semaforo
2016-0039,Accidente sin semaforo
2016-0041,Accidente con semaforo
2016-0043,Accidente sin semaforo
2016-0044,Accidente sin semaforo
2016-0045,Accidente sin semaforo
2016-0047,Accidente sin semaforo
2016-0048,Accidente con semaforo
2016-0049,Accidente sin semaforo
2016-0050,Accidente sin semaforo
2016-0051,Accidente sin semaforo
2016-0052,Accidente sin semaforo
2016-0053,Accidente sin semaforo
2016-0054,Accidente sin semaforo
2016-0055,Accidente sin semaforo
2016-0056,Accidente sin semaforo
2016-0058,Accidente sin semaforo
2016-0059,Accidente sin semaforo
2016-0064,Accidente con semaforo
2016-0065,Accidente con semaforo
2016-0067,Accidente sin semaforo
2016-0068,Accidente sin semaforo
2016-0069,Accidente sin semaforo
2016-0073,Accidente sin semaforo
2016-0074,Accidente sin semaforo
2016-0075,Accidente sin semaforo
2016-0076,Accidente sin semaforo
2016-0077,Accidente sin semaforo
2016-0078,Accidente con semaforo
2016-0079,Accidente sin semaforo
2016-0080,Accidente sin semaforo
2016-0081,Accidente sin semaforo
2016-0082,Accidente sin semaforo
2016-0083,Accidente sin semaforo
2016-0084,Accidente sin semaforo
2016-0085,Accidente sin semaforo
2016-0086,Accidente sin semaforo
2016-0087,Accidente sin semaforo
2016-0088,Accidente sin semaforo
2016-0089,Accidente sin semaforo
2016-0090,Accidente sin semaforo
2016-0092,Accidente sin semaforo
2016-0093,Accidente sin semaforo
2016-0095,Accidente sin semaforo
2016-0096,Accidente sin semaforo
2016-0097,Accidente sin semaforo
2016-0098,Accidente con semaforo
2016-0099,Accidente sin semaforo
2016-0100,Accidente sin semaforo
2016-0101,Accidente sin semaforo
2016-0102,Accidente sin semaforo
2016-0104,Accidente sin semaforo
2016-0105,Accidente con semaforo
2016-0106,Accidente sin semaforo
2016-0107,Accidente sin semaforo
2016-0109,Accidente sin semaforo
2016-0110,Accidente sin semaforo
2016-0111,Accidente sin semaforo
2016-0112,Accidente sin semaforo
2016-0113,Accidente sin semaforo
2016-0114,Accidente sin semaforo
2016-0115,Accidente sin semaforo
2016-0116,Accidente sin semaforo
2016-0117,Accidente con semaforo
2016-0118,Accidente sin semaforo
2016-0119,Accidente sin semaforo
2016-0122,Accidente sin semaforo
2016-0123,Accidente sin semaforo
2016-0124,Accidente sin semaforo
2016-0125,Accidente sin semaforo
2016-0126,Accidente con semaforo
2016-0127,Accidente sin semaforo
2016-0128,Accidente sin semaforo
2016-0130,Accidente sin semaforo
2016-0131,Accidente sin semaforo
2016-0132,Accidente con semaforo
2016-0133,Accidente sin semaforo
2016-0134,Accidente sin semaforo
2016-0135,Accidente sin semaforo
2016-0136,Accidente sin semaforo
2016-0137,Accidente sin semaforo
2016-0138,Accidente con semaforo
2016-0139,Accidente sin semaforo
2016-0140,Accidente sin semaforo
2016-0142,Accidente sin semaforo
2016-0143,Accidente sin semaforo
2016-0144,Accidente sin semaforo
2016-0145,Accidente con semaforo
2016-0146,Accidente sin semaforo
2016-0147,Accidente sin semaforo
2016-0148,Accidente sin semaforo
2016-0150,Accidente sin semaforo
2016-0151,Accidente sin semaforo
2016-0152,Accidente sin semaforo
2016-0153,Accidente sin semaforo
